1,2,3
29.25004,9.99212,1
29.25004,10.00788,1
29.25037,9.97636,1
29.25037,10.02364,1
29.25103,9.96062,1
29.25103,10.03938,1
29.25203,9.94489,1
29.25203,10.05511,1
29.25335,9.92918,1
29.25335,10.07082,1
29.255,9.91351,1
29.255,10.08649,1
29.25699,9.89788,1
29.25699,10.10212,1
29.2593,9.88229,1
29.2593,10.11771,1
29.26193,9.86675,1
29.26193,10.13325,1
29.2649,9.85127,1
29.2649,10.14873,1
29.26818,9.83585,1
29.26818,10.16415,1
29.27179,9.82051,1
29.27179,10.17949,1
29.27573,9.80525,1
29.27573,10.19475,1
29.27998,9.79008,1
29.27998,10.20992,1
29.28455,9.77499,1
29.28455,10.22501,1
29.28943,9.76001,1
29.28943,10.23999,1
29.29463,10.25487,1
29.29463,9.74513,1
29.30014,10.26963,1
29.30014,9.73037,1
29.30596,9.71572,1
29.30596,10.28428,1
29.31209,9.7012,1
29.31209,10.2988,1
29.31852,9.68681,1
29.31852,10.31319,1
29.32525,9.67256,1
29.32525,10.32744,1
29.33228,9.65845,1
29.33228,10.34155,1
29.33961,9.6445,1
29.33961,10.3555,1
29.34722,9.6307,1
29.34722,10.3693,1
29.35513,9.61707,1
29.35513,10.38293,1
29.36332,9.6036,1
29.36332,10.3964,1
29.37179,10.40969,1
29.37179,9.59031,1
29.38053,10.4228,1
29.38053,9.5772,1
29.38955,9.56428,1
29.38955,10.43572,1
29.39884,9.55155,1
29.39884,10.44845,1
29.4084,9.53901,1
29.4084,10.46099,1
29.41822,9.52668,1
29.41822,10.47332,1
29.42829,9.51456,1
29.42829,10.48544,1
29.43862,9.50266,1
29.43862,10.49734,1
29.44919,9.49097,1
29.44919,10.50903,1
29.46001,9.47951,1
29.46001,10.52049,1
29.47106,10.53172,1
29.47106,9.46828,1
29.48235,9.45728,1
29.48235,10.54272,1
29.49387,10.55348,1
29.49387,9.44652,1
29.50561,9.43601,1
29.50561,10.56399,1
29.51757,9.42575,1
29.51757,10.57425,1
29.52975,9.41574,1
29.52975,10.58426,1
29.54213,9.40599,1
29.54213,10.59401,1
29.55471,9.3965,1
29.55471,10.6035,1
29.56749,10.61273,1
29.56749,9.38727,1
29.58046,9.37832,1
29.58046,10.62168,1
29.59362,9.36964,1
29.59362,10.63036,1
29.60695,10.63876,1
29.60695,9.36124,1
29.62046,10.64688,1
29.62046,9.35312,1
29.63414,10.65471,1
29.63414,9.34529,1
29.64797,10.66225,1
29.64797,9.33775,1
29.66197,10.6695,1
29.66197,9.3305,1
29.67611,9.32354,1
29.67611,10.67646,1
29.69039,9.31689,1
29.69039,10.68311,1
29.70482,9.31053,1
29.70482,10.68947,1
29.71937,9.30448,1
29.71937,10.69552,1
29.73405,9.29874,1
29.73405,10.70126,1
29.74884,10.7067,1
29.74884,9.2933,1
29.76375,9.28818,1
29.76375,10.71182,1
29.77875,9.28338,1
29.77875,10.71662,1
29.79386,9.27889,1
29.79386,10.72111,1
29.80906,9.27471,1
29.80906,10.72529,1
29.82434,9.27086,1
29.82434,10.72914,1
29.8397,9.26733,1
29.8397,10.73267,1
29.85513,9.26412,1
29.85513,10.73588,1
29.87063,9.26124,1
29.87063,10.73876,1
29.88618,9.25869,1
29.88618,10.74131,1
29.90178,9.25646,1
29.90178,10.74354,1
29.91743,10.74544,1
29.91743,9.25456,1
29.93311,10.74701,1
29.93311,9.25299,1
29.94882,9.25175,1
29.94882,10.74825,1
29.96455,9.25084,1
29.96455,10.74916,1
29.9803,9.25026,1
29.9803,10.74974,1
29.99606,9.25001,1
29.99606,10.74999,1
30.01182,9.25009,1
30.01182,10.74991,1
30.02757,9.25051,1
30.02757,10.74949,1
30.04332,9.25125,1
30.04332,10.74875,1
30.05904,9.25233,1
30.05904,10.74767,1
30.07474,9.25373,1
30.07474,10.74627,1
30.0904,10.74453,1
30.0904,9.25547,1
30.10603,10.74247,1
30.10603,9.25753,1
30.1216,10.74008,1
30.1216,9.25992,1
30.13713,10.73736,1
30.13713,9.26264,1
30.15259,9.26569,1
30.15259,10.73431,1
30.16799,9.26906,1
30.16799,10.73094,1
30.18331,9.27275,1
30.18331,10.72725,1
30.19855,9.27676,1
30.19855,10.72324,1
30.2137,9.28109,1
30.2137,10.71891,1
30.22876,9.28574,1
30.22876,10.71426,1
30.24372,9.2907,1
30.24372,10.7093,1
30.25857,9.29598,1
30.25857,10.70402,1
30.27331,9.30157,1
30.27331,10.69843,1
30.28792,9.30747,1
30.28792,10.69253,1
30.30241,10.68633,1
30.30241,9.31367,1
30.31677,9.32018,1
30.31677,10.67982,1
30.33098,9.32698,1
30.33098,10.67302,1
30.34505,9.33409,1
30.34505,10.66591,1
30.35897,9.34148,1
30.35897,10.65852,1
30.37272,9.34917,1
30.37272,10.65083,1
30.38632,9.35715,1
30.38632,10.64285,1
30.39974,10.63459,1
30.39974,9.36541,1
30.41298,9.37395,1
30.41298,10.62605,1
30.42605,9.38276,1
30.42605,10.61724,1
30.43892,9.39185,1
30.43892,10.60815,1
30.45161,9.40121,1
30.45161,10.59879,1
30.46409,9.41083,1
30.46409,10.58917,1
30.47637,9.42071,1
30.47637,10.57929,1
30.48843,9.43085,1
30.48843,10.56915,1
30.50028,9.44124,1
30.50028,10.55876,1
30.51191,9.45187,1
30.51191,10.54813,1
30.52332,9.46275,1
30.52332,10.53725,1
30.53449,9.47387,1
30.53449,10.52613,1
30.54543,10.51479,1
30.54543,9.48521,1
30.55613,9.49679,1
30.55613,10.50321,1
30.56658,9.50858,1
30.56658,10.49142,1
30.57678,9.5206,1
30.57678,10.4794,1
30.58672,9.53282,1
30.58672,10.46718,1
30.59641,9.54525,1
30.59641,10.45475,1
30.60584,9.55789,1
30.60584,10.44211,1
30.61499,9.57071,1
30.61499,10.42929,1
30.62388,9.58373,1
30.62388,10.41627,1
30.63248,9.59693,1
30.63248,10.40307,1
30.64081,9.61031,1
30.64081,10.38969,1
30.64886,9.62386,1
30.64886,10.37614,1
30.65662,10.36242,1
30.65662,9.63758,1
30.66409,10.34854,1
30.66409,9.65146,1
30.67127,9.66549,1
30.67127,10.33451,1
30.67815,9.67967,1
30.67815,10.32033,1
30.68473,9.69399,1
30.68473,10.30601,1
30.69101,9.70844,1
30.69101,10.29156,1
30.69698,9.72303,1
30.69698,10.27697,1
30.70265,9.73773,1
30.70265,10.26227,1
30.70801,9.75256,1
30.70801,10.24744,1
30.71305,9.76749,1
30.71305,10.23251,1
30.71778,9.78252,1
30.71778,10.21748,1
30.72219,9.79765,1
30.72219,10.20235,1
30.72628,9.81287,1
30.72628,10.18713,1
30.73005,9.82817,1
30.73005,10.17183,1
30.7335,9.84355,1
30.7335,10.15645,1
30.73663,9.859,1
30.73663,10.141,1
30.73943,9.87451,1
30.73943,10.12549,1
30.7419,9.89007,1
30.7419,10.10993,1
30.74405,9.90569,1
30.74405,10.09431,1
30.74586,9.92134,1
30.74586,10.07866,1
30.74735,9.93703,1
30.74735,10.06297,1
30.74851,9.95275,1
30.74851,10.04725,1
30.74934,9.96849,1
30.74934,10.03151,1
30.74983,9.98424,1
30.74983,10.01576,1
30.75,10,1
26.50005,9.98164,2
26.50005,10.01836,2
26.50043,9.94493,2
26.50043,10.05507,2
26.5012,9.90823,2
26.5012,10.09177,2
26.50236,9.87153,2
26.50236,10.12847,2
26.5039,9.83485,2
